epoch,train_loss,val_loss,val_pixel_accuracy,val_background_iou,val_foreground_iou,val_miou,val_dice,lr,epoch_seconds
1,0.407333,0.323448,0.952486,0.921026,0.893437,0.907231,0.943720,0.00010000,64.09
2,0.313397,0.280188,0.956656,0.928860,0.900147,0.914503,0.947450,0.00010000,56.36
3,0.280845,0.266882,0.955830,0.926619,0.900123,0.913371,0.947437,0.00010000,56.04
4,0.259355,0.253945,0.959271,0.932820,0.906252,0.919536,0.950821,0.00010000,49.76
5,0.250395,0.243840,0.958750,0.931384,0.906266,0.918825,0.950829,0.00010000,49.39
6,0.242016,0.241704,0.960010,0.933747,0.908363,0.921055,0.951982,0.00010000,54.47
7,0.236186,0.238768,0.960804,0.935213,0.909728,0.922471,0.952730,0.00010000,52.45
8,0.229613,0.238251,0.960940,0.935495,0.909900,0.922697,0.952825,0.00010000,50.76
9,0.227900,0.245154,0.957376,0.930133,0.901457,0.915795,0.948175,0.00010000,51.29
10,0.225752,0.235484,0.960271,0.934319,0.908637,0.921478,0.952132,0.00010000,49.95
11,0.220489,0.250255,0.958891,0.931982,0.905867,0.918924,0.950609,0.00010000,51.61
12,0.218045,0.234321,0.960534,0.934647,0.909395,0.922021,0.952548,0.00010000,51.06
13,0.213657,0.231823,0.961995,0.937036,0.912513,0.924774,0.954255,0.00010000,50.62
14,0.211785,0.228493,0.962196,0.937667,0.912352,0.925009,0.954167,0.00010000,49.07
15,0.211375,0.238527,0.960621,0.934563,0.910012,0.922288,0.952886,0.00010000,50.42
16,0.207109,0.237550,0.962065,0.937150,0.912663,0.924906,0.954337,0.00010000,49.30
17,0.209329,0.230017,0.961019,0.936076,0.909174,0.922625,0.952427,0.00010000,49.54
18,0.206599,0.235227,0.960735,0.935328,0.909136,0.922232,0.952406,0.00010000,49.98
19,0.204618,0.228063,0.960717,0.935023,0.909633,0.922328,0.952678,0.00010000,51.61
20,0.201907,0.231934,0.962547,0.938160,0.913263,0.925712,0.954666,0.00010000,49.58
21,0.199912,0.226088,0.962617,0.938204,0.913551,0.925878,0.954823,0.00010000,49.53
22,0.200667,0.228743,0.962908,0.938675,0.914188,0.926432,0.955170,0.00010000,50.78
23,0.197771,0.226041,0.963094,0.939076,0.914400,0.926738,0.955286,0.00010000,50.44
24,0.197066,0.227382,0.961062,0.935357,0.910810,0.923083,0.953323,0.00010000,50.72
25,0.195184,0.228270,0.962087,0.937372,0.912348,0.924860,0.954165,0.00010000,49.17
26,0.193618,0.225102,0.962948,0.938887,0.913985,0.926436,0.955060,0.00010000,51.81
27,0.192395,0.230106,0.962457,0.937624,0.913827,0.925725,0.954973,0.00010000,52.97
28,0.191686,0.226249,0.962438,0.937800,0.913384,0.925592,0.954731,0.00010000,55.55
29,0.189449,0.231785,0.962373,0.937671,0.913290,0.925481,0.954680,0.00010000,50.26
30,0.191125,0.229478,0.962222,0.937681,0.912463,0.925072,0.954228,0.00010000,52.44
