epoch,train_loss,val_loss,val_accuracy,val_macro_f1,lr,epoch_seconds
1,2.938001,1.744606,0.750000,0.731191,0.00010000,73.49
2,1.299324,0.725473,0.866848,0.864960,0.00010000,35.60
3,0.607471,0.439960,0.898098,0.898925,0.00010000,35.78
4,0.377298,0.328194,0.907609,0.906409,0.00010000,34.89
5,0.261400,0.278041,0.922554,0.921084,0.00010000,38.28
6,0.185966,0.250593,0.933424,0.930928,0.00010000,37.66
7,0.143010,0.222782,0.930707,0.928916,0.00010000,37.45
8,0.094150,0.227122,0.932065,0.930054,0.00010000,42.86
9,0.079113,0.215956,0.932065,0.929601,0.00010000,40.11
10,0.068300,0.211916,0.930707,0.928115,0.00010000,39.45
11,0.054997,0.211264,0.929348,0.927001,0.00010000,38.31
12,0.053084,0.229885,0.936141,0.934780,0.00010000,36.11
13,0.048398,0.227916,0.937500,0.935778,0.00010000,40.23
14,0.041540,0.222557,0.932065,0.929553,0.00010000,37.96
15,0.034492,0.235515,0.929348,0.926949,0.00010000,37.81
16,0.030710,0.235408,0.925272,0.922343,0.00010000,41.24
17,0.027612,0.215472,0.932065,0.930157,0.00010000,39.65
18,0.028423,0.208866,0.932065,0.929299,0.00010000,40.99
19,0.019152,0.221597,0.927989,0.926051,0.00010000,40.56
20,0.019116,0.238700,0.927989,0.925277,0.00010000,39.80
21,0.017763,0.228110,0.934783,0.933459,0.00010000,39.11
22,0.015938,0.232113,0.926630,0.924491,0.00010000,40.41
23,0.015529,0.247718,0.923913,0.922823,0.00010000,38.68
24,0.017313,0.251753,0.926630,0.924351,0.00010000,45.61
25,0.013722,0.229786,0.934783,0.932583,0.00010000,38.77
