epoch,train_loss,val_loss,val_accuracy,val_macro_f1,lr,epoch_seconds
1,1.842954,0.776655,0.831522,0.822511,0.00010000,37.92
2,0.543199,0.530305,0.873641,0.866820,0.00010000,36.79
3,0.261367,0.416923,0.884511,0.879488,0.00010000,47.06
4,0.151278,0.359966,0.910326,0.907756,0.00010000,39.38
5,0.092303,0.327151,0.906250,0.903996,0.00010000,34.66
6,0.064980,0.328415,0.903533,0.901478,0.00010000,37.29
7,0.038581,0.294648,0.919837,0.917816,0.00010000,40.66
8,0.033919,0.317886,0.908967,0.906337,0.00010000,39.53
9,0.025677,0.282236,0.930707,0.929051,0.00010000,41.92
10,0.020875,0.277937,0.922554,0.920120,0.00010000,41.40
11,0.018969,0.293988,0.926630,0.925586,0.00010000,37.52
12,0.011274,0.288966,0.918478,0.917250,0.00010000,35.91
13,0.013994,0.304817,0.911685,0.910755,0.00010000,35.24
14,0.013896,0.303762,0.915761,0.914109,0.00010000,35.70
15,0.011216,0.262803,0.930707,0.930059,0.00010000,35.59
16,0.021446,0.372787,0.894022,0.891530,0.00010000,35.20
17,0.041888,0.381243,0.881793,0.878869,0.00010000,38.77
18,0.017026,0.329187,0.913043,0.911089,0.00010000,38.52
19,0.011614,0.357918,0.900815,0.898834,0.00010000,37.80
20,0.006263,0.316298,0.911685,0.908410,0.00010000,38.54
