label,class_name,precision,recall,f1,support
0,Abyssinian,0.859813,0.938776,0.897561,98
1,American Bulldog,0.743802,0.900000,0.814480,100
2,American Pit Bull Terrier,0.779412,0.530000,0.630952,100
3,Basset Hound,0.978261,0.900000,0.937500,100
4,Beagle,0.866667,0.910000,0.887805,100
5,Bengal,0.765217,0.880000,0.818605,100
6,Birman,0.771930,0.880000,0.822430,100
7,Bombay,0.836538,0.988636,0.906250,88
8,Boxer,0.865385,0.909091,0.886700,99
9,British Shorthair,0.921348,0.820000,0.867725,100
10,Chihuahua,0.844037,0.920000,0.880383,100
11,Egyptian Mau,0.867347,0.876289,0.871795,97
12,English Cocker Spaniel,0.959184,0.940000,0.949495,100
13,English Setter,0.969072,0.940000,0.954315,100
14,German Shorthaired,0.846154,0.990000,0.912442,100
15,Great Pyrenees,0.979381,0.950000,0.964467,100
16,Havanese,0.880734,0.960000,0.918660,100
17,Japanese Chin,0.990000,0.990000,0.990000,100
18,Keeshond,0.990000,1.000000,0.994975,99
19,Leonberger,1.000000,0.990000,0.994975,100
20,Maine Coon,0.875000,0.770000,0.819149,100
21,Miniature Pinscher,0.943820,0.840000,0.888889,100
22,Newfoundland,0.970874,1.000000,0.985222,100
23,Persian,0.873786,0.900000,0.886700,100
24,Pomeranian,0.948454,0.920000,0.934010,100
25,Pug,0.990000,0.990000,0.990000,100
26,Ragdoll,0.818182,0.720000,0.765957,100
27,Russian Blue,0.918605,0.790000,0.849462,100
28,Saint Bernard,0.950980,0.970000,0.960396,100
29,Samoyed,0.951456,0.980000,0.965517,100
30,Scottish Terrier,0.968750,0.939394,0.953846,99
31,Shiba Inu,0.941748,0.970000,0.955665,100
32,Siamese,0.975904,0.810000,0.885246,100
33,Sphynx,0.989130,0.910000,0.947917,100
34,Staffordshire Bull Terrier,0.625000,0.674157,0.648649,89
35,Wheaten Terrier,0.940594,0.950000,0.945274,100
36,Yorkshire Terrier,0.968750,0.930000,0.948980,100
