label,class_name,precision,recall,f1,support
0,Abyssinian,0.868132,0.806122,0.835979,98
1,American Bulldog,0.700787,0.890000,0.784141,100
2,American Pit Bull Terrier,0.739130,0.510000,0.603550,100
3,Basset Hound,0.944444,0.850000,0.894737,100
4,Beagle,0.794872,0.930000,0.857143,100
5,Bengal,0.741935,0.920000,0.821429,100
6,Birman,0.720721,0.800000,0.758294,100
7,Bombay,0.836538,0.988636,0.906250,88
8,Boxer,0.881188,0.898990,0.890000,99
9,British Shorthair,0.951807,0.790000,0.863388,100
10,Chihuahua,0.858586,0.850000,0.854271,100
11,Egyptian Mau,0.894737,0.876289,0.885417,97
12,English Cocker Spaniel,0.918367,0.900000,0.909091,100
13,English Setter,0.957895,0.910000,0.933333,100
14,German Shorthaired,0.890909,0.980000,0.933333,100
15,Great Pyrenees,0.969072,0.940000,0.954315,100
16,Havanese,0.895238,0.940000,0.917073,100
17,Japanese Chin,0.980392,1.000000,0.990099,100
18,Keeshond,0.989691,0.969697,0.979592,99
19,Leonberger,0.979798,0.970000,0.974874,100
20,Maine Coon,0.918605,0.790000,0.849462,100
21,Miniature Pinscher,0.915789,0.870000,0.892308,100
22,Newfoundland,0.961165,0.990000,0.975369,100
23,Persian,0.888889,0.880000,0.884422,100
24,Pomeranian,0.882353,0.900000,0.891089,100
25,Pug,0.989691,0.960000,0.974619,100
26,Ragdoll,0.654867,0.740000,0.694836,100
27,Russian Blue,0.910112,0.810000,0.857143,100
28,Saint Bernard,0.933333,0.980000,0.956098,100
29,Samoyed,0.941176,0.960000,0.950495,100
30,Scottish Terrier,0.915888,0.989899,0.951456,99
31,Shiba Inu,0.922330,0.950000,0.935961,100
32,Siamese,0.941176,0.800000,0.864865,100
33,Sphynx,0.937500,0.900000,0.918367,100
34,Staffordshire Bull Terrier,0.600000,0.573034,0.586207,89
35,Wheaten Terrier,0.967033,0.880000,0.921466,100
36,Yorkshire Terrier,0.989691,0.960000,0.974619,100
